target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label,pearson_p_bh,spearman_p_bh,kendall_p_bh
4f65,boltz2,boltz2_affinity_pred_value,133,0.48377488154720494,3.6584234455564918e-09,0.624905312066377,9.06090960719311e-16,0.46502891409233477,2.1183741648716024e-15,Boltz-2,8.216203647191237e-09,3.151620732936734e-15,7.061247216238674e-15
4f65,dynamicbind,dynamicbind_affinity_bestpose,133,0.36062384510713363,2.0075942058398856e-05,0.13603450344830345,0.11845660925381687,0.09679076932198878,0.0986526890238834,DynamicBind,3.4914681840693666e-05,0.141440727467244,0.11957901699864655
4f65,gnina,gnina_cnn_affinity_bestpose,126,0.04677427528391657,0.6029993953121789,0.18680425360935574,0.03622005796886062,0.12128918625007667,0.04423517929420488,GNINA 1.3,0.6106322990503078,0.04829341062514749,0.05898023905893985
4f65,plapt,plapt_affinity,133,0.10311509644637518,0.23756002481621316,0.06314575964401338,0.4702456528587232,0.0475403425291747,0.4172956953858187,PLAPT,0.2676732673985501,0.5083736787661873,0.4511304814981823
4f65,qvina,qvina_affinity_bestpose,126,-0.0100730266119988,0.910866696447665,-0.018819391137672715,0.8343230819004213,-0.004636247499871572,0.9394343101812681,QVina2,0.910866696447665,0.8448841335700468,0.9513258837278663
4tz4,boltz2,boltz2_affinity_pred_value,113,0.5104934906080162,7.633068202398829e-09,0.46265559370760695,2.479259431840256e-07,0.32465418802644397,3.5889559126960594e-07,Boltz-2,1.65039312484299e-08,5.360560933708661e-07,7.759904676099588e-07
4tz4,dynamicbind,dynamicbind_affinity_bestpose,113,0.4316281196646444,1.8131966503623732e-06,0.41474562445467533,4.94218923630144e-06,0.2936292144266473,4.160772755152875e-06,DynamicBind,3.3733891169532527e-06,9.413693783431315e-06,8.32154551030575e-06
4tz4,gnina,gnina_cnn_affinity_bestpose,112,0.40648792077020507,8.7001814848094e-06,0.37234219806860436,5.2850597442722854e-05,0.25642702764414327,6.311028444569738e-05,GNINA 1.3,1.5818511790562546e-05,8.628668970240467e-05,0.00010303719909501613
4tz4,plapt,plapt_affinity,113,0.3215410870916919,0.0005152094981429753,0.27968692206848134,0.002698287075479506,0.19263975954567641,0.0025278513249275456,PLAPT,0.0008586824969049588,0.0039247812006974634,0.0037449649258185862
4tz4,qvina,qvina_affinity_bestpose,112,-0.07659910064712692,0.42212803486354994,-0.08367514425665537,0.3804107481701815,-0.06873179114491416,0.3780081142886408,QVina2,0.44652851492687873,0.4168884911454044,0.4142554677135789
4zau,boltz2,boltz2_affinity_pred_value,219,0.5362273373256444,1.0558606489021633e-17,0.47863715869655676,6.115757590013387e-14,0.3287910902577807,5.704084014096388e-13,Boltz-2,3.519535496340545e-17,1.957042428804284e-13,1.6900989671396704e-12
4zau,dynamicbind,dynamicbind_affinity_bestpose,235,0.37272662718492017,3.6972916412360573e-09,0.30556955189520235,1.8060893898964047e-06,0.2066944516354073,2.7125762249224674e-06,DynamicBind,8.216203647191237e-09,3.704798748505445e-06,5.7106867893104575e-06
